y,p,r
0.7715,0.9958,0.1603
0.4820,0.8111,-0.7531
0.7199,-1.2811,0.1950
0.7410,-1.2741,0.2069
0.0324,-0.4741,-1.0856
0.2219,-0.1236,1.3593
0.2016,-0.1476,1.3464
0.7523,-1.4294,0.1355
0.4090,-0.1139,-1.3138
0.3899,-0.1113,-1.3154
0.0617,-0.2644,1.3001
0.0176,0.3438,-1.2266
0.1587,-0.9519,-0.5943
0.8486,-1.5245,0.0393
0.8455,-1.5267,0.0406
1.9236,-1.5277,0.0419
1.5310,-1.5279,0.0420
1.5274,-1.5281,0.0422
1.5276,-1.5281,0.0425
1.5279,-1.5282,0.0425
1.5280,-1.5280,0.0428
1.5282,-1.5278,0.0429
1.5285,-1.5275,0.0430
1.5285,-1.5270,0.0433
1.5288,-1.5265,0.0434
1.5289,-1.5257,0.0436
1.5292,-1.5250,0.0438
1.5292,-1.5241,0.0440
1.5295,-1.5232,0.0441
1.5297,-1.5221,0.0443
1.5298,-1.5208,0.0446
1.5300,-1.5196,0.0447
1.5303,-1.5183,0.0449
1.5304,-1.5169,0.0451
1.5307,-1.5154,0.0452
1.5308,-1.5137,0.0455
1.5310,-1.5121,0.0456
1.5312,-1.5104,0.0459
1.5315,-1.5086,0.0460
1.5317,-1.5084,0.0458
1.5339,-1.5129,0.0431
1.5347,-1.5119,0.0429
1.5321,-1.5102,0.0457
1.5325,-1.5096,0.0455
1.5311,-1.5062,0.0476
1.5309,-1.5045,0.0483
1.5312,-1.5026,0.0487
1.5318,-1.5011,0.0486
1.5323,-1.4996,0.0487
1.5331,-1.4981,0.0486
1.5332,-1.4964,0.0490
1.5332,-1.4942,0.0497
1.5334,-1.4923,0.0503
1.5335,-1.4904,0.0508
1.5338,-1.4884,0.0513
1.5340,-1.4870,0.0519
1.5327,-1.4865,0.0534
1.5310,-1.4868,0.0546
1.5306,-1.4876,0.0546
1.5302,-1.4874,0.0545
1.5304,-1.4863,0.0541
1.5319,-1.4858,0.0524
1.5339,-1.4859,0.0500
1.5356,-1.4862,0.0478
1.5370,-1.4869,0.0458
1.5381,-1.4878,0.0439
1.5391,-1.4888,0.0422
1.5395,-1.4898,0.0410
1.5399,-1.4913,0.0399
1.5401,-1.4934,0.0388
1.5404,-1.4950,0.0377
1.5408,-1.4963,0.0366
1.5414,-1.4974,0.0354
1.5423,-1.4978,0.0342
1.5431,-1.4978,0.0329
1.5442,-1.4973,0.0316
1.5449,-1.4967,0.0303
1.5458,-1.4966,0.0293
1.5467,-1.4967,0.0283
1.5474,-1.4969,0.0275
1.5468,-1.4983,0.0281
1.5450,-1.5077,0.0296
1.5426,-1.5220,0.0312
1.5363,-1.5306,0.0362
1.5308,-1.5308,0.0400
1.5259,-1.5259,0.0434
1.5222,-1.5205,0.0459
1.5189,-1.5142,0.0477
1.5157,-1.5044,0.0488
1.5128,-1.4894,0.0491
1.5104,-1.4700,0.0486
1.5115,-1.4567,0.0465
1.5170,-1.4577,0.0426
1.5202,-1.4537,0.0412
1.5284,-1.4596,0.0360
1.5397,-1.4782,0.0278
1.5491,-1.5079,0.0208
1.5538,-1.5478,0.0169
1.5566,-1.5077,0.0129
1.5557,-1.4011,0.0093
1.5441,-1.3393,0.0167
1.5332,-1.3159,0.0252
1.5348,-1.2976,0.0224
1.5476,-1.2945,0.0097
1.5545,-1.3161,0.0048
1.5526,-1.3015,0.0090
1.5492,-1.2930,0.0180
1.5491,-1.2858,0.0271
1.5493,-1.2803,0.0377
1.5488,-1.2758,0.0493
1.5477,-1.2681,0.0620
1.5459,-1.2634,0.0756
1.5460,-1.2598,0.0873
1.5452,-1.2559,0.1000
1.5447,-1.2520,0.1124
1.5426,-1.2483,0.1257
1.5409,-1.2453,0.1379
1.5394,-1.2427,0.1487
1.5384,-1.2400,0.1582
1.5375,-1.2376,0.1666
1.5370,-1.2354,0.1737
1.5368,-1.2334,0.1795
1.5364,-1.2314,0.1846
1.5360,-1.2292,0.1888
1.5356,-1.2267,0.1919
1.5352,-1.2243,0.1939
1.5362,-1.2202,0.1951
1.5380,-1.2184,0.1945
1.5392,-1.2170,0.1942
1.5392,-1.2145,0.1954
1.5394,-1.2126,0.1960
1.5398,-1.2100,0.1968
1.5409,-1.2064,0.1976
1.5424,-1.2017,0.1987
1.5434,-1.1979,0.1995
1.5443,-1.1962,0.1997
1.5452,-1.1952,0.1996
1.5462,-1.1907,0.2008
1.5472,-1.1851,0.2026
1.5483,-1.1790,0.2044
1.5494,-1.1729,0.2062
1.5484,-1.1669,0.2087
1.5474,-1.1630,0.2085
1.5464,-1.1601,0.2057
1.5462,-1.1569,0.2004
1.5471,-1.1537,0.1920
1.5491,-1.1491,0.1820
1.5511,-1.1447,0.1705
1.5547,-1.1385,0.1573
1.5574,-1.1340,0.1437
1.5607,-1.1286,0.1293
1.5639,-1.1233,0.1148
1.5683,-1.1165,0.1000
1.5717,-1.1096,0.0871
1.5755,-1.1027,0.0752
1.5794,-1.0959,0.0649
1.5826,-1.0890,0.0568
1.5849,-1.0815,0.0514
1.5863,-1.0738,0.0481
1.5871,-1.0669,0.0456
1.5882,-1.0611,0.0425
1.5894,-1.0561,0.0380
1.5903,-1.0510,0.0328
1.5910,-1.0451,0.0270
1.5914,-1.0386,0.0206
1.5923,-1.0322,0.0135
1.5929,-1.0256,0.0062
1.5941,-1.0190,-0.0024
1.5956,-1.0124,-0.0115
1.5970,-1.0058,-0.0209
1.5983,-0.9988,-0.0305
